strain1,strain2,lens1,lens2,spe1,spe2,color,dist_link1,dist_link2,phy_seqdist
Pseudomonas_aeruginosa_FDAARGOS_610_11151,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.170922302962549,1,0.441287554777665
Pseudomonas_aeruginosa_FDAARGOS_570_9956,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.16533258803801,1,0.44513572419259
Pseudomonas_aeruginosa_FDAARGOS_767_11150,Pseudomonas_fluorescens_NCTC10783_9425,2,1,aeruginosa,fluorescens,#D7261C50,0.158624930128563,1,0.443482749037202
Pseudomonas_aeruginosa_C79_11954,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.153035215204025,1,0.473687025350305
Pseudomonas_aeruginosa_W70322_6250,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.137384013415316,1,0.410918981931222
Pseudomonas_aeruginosa_FA-HZ1_4011,Pseudomonas_fluorescens_NCTC10783_9425,2,1,aeruginosa,fluorescens,#D7261C50,0.127322526551146,1,0.444642287658127
Pseudomonas_aeruginosa_BAMC_07-48_3994,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.118378982671884,1,0.443515926962548
Pseudomonas_aeruginosa_NCTC10728_11169,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.108317495807714,1,0.381156857792372
Pseudomonas_aeruginosa_NCTC6750_6271,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.106081609837898,1,0.423885479535426
Pseudomonas_aeruginosa_AR_0351_6802,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.103845723868083,1,0.396983653692562
Pseudomonas_aeruginosa_FDAARGOS_154_6853,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.100491894913359,1,0.430861533031994
Pseudomonas_aeruginosa_PA121617_3995,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.092666294019005,1,0.372147381815164
Pseudomonas_aeruginosa_isolate_paerg009_11162,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.0893124650642817,1,0.41456160419891
Pseudomonas_aeruginosa_isolate_M37351_3639,Pseudomonas_fluorescens_NCTC10783_9425,2,1,aeruginosa,fluorescens,#D7261C50,0.0814868641699273,1,0.458697378872121
Pseudomonas_aeruginosa_Environ_2_12091,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.078133035215204,1,0.380185832591155
Pseudomonas_aeruginosa_RP73_192,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.0758971492453885,1,0.374262497318172
Pseudomonas_aeruginosa_M1608_7239,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.0736612632755729,1,0.385484300159659
Pseudomonas_aeruginosa_DN1_5583,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.0691894913359419,1,0.381533932691543
Pseudomonas_aeruginosa_isolate_paerg006_11154,Pseudomonas_fluorescens_NCTC10783_9425,2,1,aeruginosa,fluorescens,#D7261C50,0.0658356623812186,1,0.455238095238095
Pseudomonas_aeruginosa_W60856_6659,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.0613638904415875,1,0.394410460018365
Pseudomonas_aeruginosa_H5708_6745,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.0580100614868642,1,0.352339718716388
Pseudomonas_aeruginosa_E90_12001,Pseudomonas_fluorescens_NCTC10783_9425,2,1,aeruginosa,fluorescens,#D7261C50,0.0546562325321409,1,0.338585434173669
Pseudomonas_aeruginosa_W16407_6873,Pseudomonas_fluorescens_NCTC10783_9425,3,1,aeruginosa,fluorescens,#D7261C50,0.049066517607602,1,0.367247565351102
Pseudomonas_aeruginosa_isolate_PA14Or_reads_4013,Pseudomonas_fluorescens_NCTC10783_9425,2,1,aeruginosa,fluorescens,#D7261C50,0.0378870877585243,1,0.351574855917437
Pseudomonas_aeruginosa_BWHPSA044_2035,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.0300614868641699,1,0.348473745220044
Pseudomonas_aeruginosa_NCTC10730_6859,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.0233538289547233,1,0.0984181704470918
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_PRD-10_11121,1,2,fluorescens,aeruginosa,#70BCC950,0.02,1,0.241234728547676
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_AR442_6465,1,1,fluorescens,aeruginosa,#70BCC950,0.0244717719396311,1,0.193054152053736
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_1811-13R031_12048,1,2,fluorescens,aeruginosa,#70BCC950,0.0278256008943544,1,0.349658652419115
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_8380_3922,1,2,fluorescens,aeruginosa,#70BCC950,0.0322973728339855,1,0.329222011385199
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_X78812_6522,1,1,fluorescens,aeruginosa,#70BCC950,0.0367691447736165,1,0.333046776922657
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_PAK_12154,1,1,fluorescens,aeruginosa,#70BCC950,0.0390050307434321,1,0.32208801510849
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_B136-33_191,1,1,fluorescens,aeruginosa,#70BCC950,0.0546562325321409,1,0.347885143027899
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_AR_0459_6642,1,2,fluorescens,aeruginosa,#70BCC950,0.0602459474566797,1,0.312877150635718
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_PPF-1_6589,1,1,fluorescens,aeruginosa,#70BCC950,0.063599776411403,1,0.357857722477685
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_Pa127_6938,1,2,fluorescens,aeruginosa,#70BCC950,0.0669536053661263,1,0.363144819523601
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_env207_6940,1,1,fluorescens,aeruginosa,#70BCC950,0.107199552822806,1,0.475779506992436
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_AZPAE14871_2520,1,1,fluorescens,aeruginosa,#70BCC950,0.117261039686976,1,0.50003240160712
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_HIAE_PA11_7139,1,4,fluorescens,aeruginosa,#70BCC950,0.121732811626607,1,0.481668650578942
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_GO77_11934,1,1,fluorescens,aeruginosa,#70BCC950,0.128440469536054,1,0.473720955601614
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_HIAE_PA08_7210,1,1,fluorescens,aeruginosa,#70BCC950,0.14520961430967,1,0.455354874344104
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_GO32_12028,1,1,fluorescens,aeruginosa,#70BCC950,0.158624930128563,1,0.459633266707222
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_PA220_12056,1,1,fluorescens,aeruginosa,#70BCC950,0.183219675796534,1,0.459098404492379
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_GO72_11935,1,1,fluorescens,aeruginosa,#70BCC950,0.232409167132476,1,0.47004942982266
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_M66_10712,1,1,fluorescens,aeruginosa,#70BCC950,0.252532140860816,1,0.493044113956508
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_U5a-2_5775,1,1,fluorescens,aeruginosa,#70BCC950,0.257003912800447,1,0.479306512073926
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_FMDP001_11958,1,1,fluorescens,aeruginosa,#70BCC950,0.260357741755171,1,0.481697479724427
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_PA221_12055,1,1,fluorescens,aeruginosa,#70BCC950,0.281598658468418,1,0.468847420417124
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_PA162_12069,1,1,fluorescens,aeruginosa,#70BCC950,0.284952487423141,1,0.467836193191163
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_PA206_12059,1,1,fluorescens,aeruginosa,#70BCC950,0.298367803242035,1,0.464493917328464
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_nmrcch-6-2018_5871,1,1,fluorescens,aeruginosa,#70BCC950,0.308429290106205,1,0.477808507836165
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_NCTC8506_6143,1,1,fluorescens,aeruginosa,#70BCC950,0.335259921743991,1,0.436510684882539
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_NCTC11448_6684,1,1,fluorescens,aeruginosa,#70BCC950,0.3509111235327,1,0.448792237598564
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_NCTC12448_6954,1,2,fluorescens,aeruginosa,#70BCC950,0.363208496366685,1,0.460842937475642
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_BWH058_2066,1,1,fluorescens,aeruginosa,#70BCC950,0.367680268306316,1,0.458321829560096
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_NCTC11449_5804,1,2,fluorescens,aeruginosa,#70BCC950,0.369916154276132,1,0.498802600068423
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_Ocean-1170_6005,1,1,fluorescens,aeruginosa,#70BCC950,0.377741755170486,1,0.452755749666829
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_BWH054_2070,1,1,fluorescens,aeruginosa,#70BCC950,0.383331470095025,1,0.469919295671313
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_CF27_600,1,1,fluorescens,aeruginosa,#70BCC950,0.386685299049748,1,0.394929446235702
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_isolate_blood_11325,1,1,fluorescens,aeruginosa,#70BCC950,0.396746785913918,1,0.469251415243609
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_PS75_2063,1,1,fluorescens,aeruginosa,#70BCC950,0.406808272778088,1,0.439434087252768
Pseudomonas_fluorescens_NCTC10783_9425,Pseudomonas_aeruginosa_RM1_6781,1,1,fluorescens,aeruginosa,#70BCC950,0.422459474566797,1,0.412768073599801
Pseudomonas_alkylphenolica_xwS2_11543,Pseudomonas_donghuensis_SVBP6_5836,1,1,alkylphenolica,donghuensis,#FACEE566,0.034533258803801,1,0.372681546683433
Pseudomonas_monteilii_DE0591_11638,Pseudomonas_plecoglossicida_ZKA3_9382,2,1,monteilii,plecoglossicida,#F7CEDC66,0.120614868641699,1,0.601594873025979
Pseudomonas_fluorescens_isolate_PS631_11768,Pseudomonas_putida_KT-27_5803,1,1,fluorescens,putida,#70BCC950,0.02,1,0.392083025127205
Pseudomonas_fluorescens_isolate_PS631_11768,Pseudomonas_protegens_14B2_11376,1,2,fluorescens,protegens,#70BCC950,0.878580212409167,1,0.54985000882301
Pseudomonas_fluorescens_isolate_PS631_11768,Pseudomonas_protegens_4_7020,1,1,fluorescens,protegens,#70BCC950,0.881934041363891,1,0.543457656266794
Pseudomonas_fluorescens_isolate_PS631_11768,Pseudomonas_protegens_11_6763,1,1,fluorescens,protegens,#70BCC950,0.884169927333706,1,0.544686294652375
Pseudomonas_fluorescens_isolate_PS631_11768,Pseudomonas_protegens_XY2F4_11379,1,1,fluorescens,protegens,#70BCC950,0.886405813303522,1,0.536074262731948
Pseudomonas_fluorescens_isolate_PS631_11768,Pseudomonas_saponiphila_DSM_9751_5997,1,1,fluorescens,saponiphila,#70BCC950,0.888641699273337,1,0.615996974943778
Pseudomonas_fluorescens_isolate_PS631_11768,Pseudomonas_protegens_K9441_5298,1,1,fluorescens,protegens,#70BCC950,0.896467300167691,1,0.530935111716887
Pseudomonas_fluorescens_isolate_PS631_11768,Pseudomonas_protegens_Darke_11374,1,1,fluorescens,protegens,#70BCC950,0.903174958077138,1,0.551127430396188
Pseudomonas_putida_KT-27_5803,Pseudomonas_protegens_14B2_11376,1,2,putida,protegens,#3E763E50,0.877462269424259,1,0.703603513675384
Pseudomonas_putida_KT-27_5803,Pseudomonas_protegens_4_7020,1,1,putida,protegens,#3E763E50,0.880816098378983,1,0.701745829517856
Pseudomonas_putida_KT-27_5803,Pseudomonas_protegens_11_6763,1,1,putida,protegens,#3E763E50,0.883051984348798,1,0.702729188103288
Pseudomonas_putida_KT-27_5803,Pseudomonas_fluorescens_AU11706_2970,1,1,putida,fluorescens,#3E763E50,0.884169927333706,1,0.6969530391079
Pseudomonas_putida_KT-27_5803,Pseudomonas_protegens_XY2F4_11379,1,1,putida,protegens,#3E763E50,0.885287870318614,1,0.680324006776874
Pseudomonas_putida_KT-27_5803,Pseudomonas_saponiphila_DSM_9751_5997,1,1,putida,saponiphila,#3E763E50,0.887523756288429,1,0.684772293486026
Pseudomonas_putida_KT-27_5803,Pseudomonas_fluorescens_AU20219_2979,1,2,putida,fluorescens,#3E763E50,0.893113471212968,1,0.693995549379537
Pseudomonas_putida_KT-27_5803,Pseudomonas_protegens_K9441_5298,1,1,putida,protegens,#3E763E50,0.895349357182784,1,0.683740351015734
Pseudomonas_putida_KT-27_5803,Pseudomonas_protegens_Darke_11374,1,1,putida,protegens,#3E763E50,0.90205701509223,1,0.674891727262725
Pseudomonas_mosselii_LB-090624_7258,Pseudomonas_putida_1A00316_4055,1,1,mosselii,putida,#F1D0D266,0.122850754611515,1,0.440003337783712
Pseudomonas_putida_IEC33019_6180,Pseudomonas_monteilii_GTC_10899_5717,1,1,putida,monteilii,#3E763E50,0.02,1,0.343146212644575
Pseudomonas_putida_IEC33019_6180,Pseudomonas_migulae_NBRC_103157_6942,1,1,putida,migulae,#3E763E50,1.00490776970375,1,0.66684744400924
Pseudomonas_putida_IEC33019_6180,Pseudomonas_migulae_BS3662_6128,1,1,putida,migulae,#3E763E50,1.00714365567356,1,0.660546443304045
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_NCIMB_11764_608,1,1,putida,fluorescens,#3E763E50,1.00937954164338,1,0.711544528574004
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_isolate_PS858_11805,1,4,putida,fluorescens,#3E763E50,1.02055897149245,1,0.670283849313799
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_isolate_PS659_11770,1,1,putida,fluorescens,#3E763E50,1.09098937954164,1,0.655786110099907
Pseudomonas_putida_IEC33019_6180,Pseudomonas_vancouverensis_Dha-51_11578,1,3,putida,vancouverensis,#3E763E50,1.09322526551146,1,0.6508584294962
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_isolate_PS938_11824,1,1,putida,fluorescens,#3E763E50,1.10216880939072,1,0.649497716894977
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_S613_3677,1,2,putida,fluorescens,#3E763E50,1.10887646730017,1,0.647853608701749
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_isolate_PS900_11812,1,5,putida,fluorescens,#3E763E50,1.11446618222471,1,0.668163093904975
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_isolate_PS673_11758,1,3,putida,fluorescens,#3E763E50,1.12117384013415,1,0.657279086482492
Pseudomonas_putida_IEC33019_6180,Pseudomonas_jessenii_DSM_17150_5793,1,1,putida,jessenii,#3E763E50,1.12452766908888,1,0.6835417668751
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_isolate_PS922_11814,1,1,putida,fluorescens,#3E763E50,1.12564561207378,1,0.667362055933485
Pseudomonas_putida_IEC33019_6180,Pseudomonas_laurylsulfatovorans_AP3_22_6201,1,1,putida,laurylsulfatovorans,#3E763E50,1.12676355505869,1,0.65807661828286
Pseudomonas_putida_IEC33019_6180,Pseudomonas_jessenii_BS3660_7119,1,1,putida,jessenii,#3E763E50,1.12899944102851,1,0.705215346799188
Pseudomonas_putida_IEC33019_6180,Pseudomonas_stutzeri_KGS-2_9480,1,1,putida,stutzeri,#3E763E50,1.13011738401342,1,0.651206339419267
Pseudomonas_putida_IEC33019_6180,Pseudomonas_fluorescens_GW456-L13_3678,1,1,putida,fluorescens,#3E763E50,1.13123532699832,1,0.683131045051248
Pseudomonas_putida_IEC33019_6180,Pseudomonas_stutzeri_KGS-8_9481,1,1,putida,stutzeri,#3E763E50,1.13235326998323,1,0.673697928170694
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_migulae_NBRC_103157_6942,1,1,monteilii,migulae,#F7CEDC66,1.00378982671884,1,0.513209090727697
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_migulae_BS3662_6128,1,1,monteilii,migulae,#F7CEDC66,1.00602571268865,1,0.627793472867746
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_NCIMB_11764_608,1,1,monteilii,fluorescens,#F7CEDC66,1.00826159865847,1,0.644824114343841
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_isolate_PS858_11805,1,4,monteilii,fluorescens,#F7CEDC66,1.01944102850755,1,0.530822298314192
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_isolate_PS659_11770,1,1,monteilii,fluorescens,#F7CEDC66,1.08987143655674,1,0.499894782199152
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_vancouverensis_Dha-51_11578,1,3,monteilii,vancouverensis,#F7CEDC66,1.09210732252655,1,0.508172111427038
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_isolate_PS938_11824,1,1,monteilii,fluorescens,#F7CEDC66,1.10105086640581,1,0.495209586833121
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_S613_3677,1,2,monteilii,fluorescens,#F7CEDC66,1.10775852431526,1,0.499663126188966
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_isolate_PS900_11812,1,5,monteilii,fluorescens,#F7CEDC66,1.1133482392398,1,0.51547451895505
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_isolate_PS673_11758,1,3,monteilii,fluorescens,#F7CEDC66,1.12005589714925,1,0.499649474211317
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_jessenii_DSM_17150_5793,1,1,monteilii,jessenii,#F7CEDC66,1.12340972610397,1,0.533076276632557
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_isolate_PS922_11814,1,1,monteilii,fluorescens,#F7CEDC66,1.12452766908888,1,0.505431960698167
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_laurylsulfatovorans_AP3_22_6201,1,1,monteilii,laurylsulfatovorans,#F7CEDC66,1.12564561207378,1,0.499736567423828
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_jessenii_BS3660_7119,1,1,monteilii,jessenii,#F7CEDC66,1.1278814980436,1,0.625068318455092
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_stutzeri_KGS-2_9480,1,1,monteilii,stutzeri,#F7CEDC66,1.12899944102851,1,0.663628048780488
Pseudomonas_monteilii_GTC_10899_5717,Pseudomonas_fluorescens_GW456-L13_3678,1,1,monteilii,fluorescens,#F7CEDC66,1.13011738401342,1,0.667962243198223
